activity,superclass,class,step,organ,mechanism,keywords
Drawing,Cognitive & Sensory,Drawing,3,association cortex,Association areas link sensory input with memories and meaning.,"drawing, art, sketch"
Drawing,Cognitive & Sensory,Drawing,4,motor and premotor cortex,"Motor systems plan or execute responses; during this activity, Visual-spatial networks support creativity and relaxation.","drawing, art, sketch"
Drawing,Cognitive & Sensory,Drawing,5,autonomic nervous system,Autonomic outputs adjust bodily state to match sensory context.,"drawing, art, sketch"
Drawing,Cognitive & Sensory,Drawing,6,whole body,The experience modifies physiological readiness and future behavior.,"drawing, art, sketch"
Smelling Aroma,Cognitive & Sensory,Smelling Aroma,1,sensory organs,"Peripheral organs detect stimuli such as light, sound, or scent.","smell, aroma, scent"
Smelling Aroma,Cognitive & Sensory,Smelling Aroma,2,primary sensory cortex,Primary sensory cortices refine and map input signals.,"smell, aroma, scent"
Smelling Aroma,Cognitive & Sensory,Smelling Aroma,3,association cortex,Association areas link sensory input with memories and meaning.,"smell, aroma, scent"
Smelling Aroma,Cognitive & Sensory,Smelling Aroma,4,motor and premotor cortex,"Motor systems plan or execute responses; during this activity, Olfactory input triggers limbic emotional responses.","smell, aroma, scent"
Smelling Aroma,Cognitive & Sensory,Smelling Aroma,5,autonomic nervous system,Autonomic outputs adjust bodily state to match sensory context.,"smell, aroma, scent"
Smelling Aroma,Cognitive & Sensory,Smelling Aroma,6,whole body,The experience modifies physiological readiness and future behavior.,"smell, aroma, scent"
Watching Nature,Cognitive & Sensory,Watching Nature,1,sensory organs,"Peripheral organs detect stimuli such as light, sound, or scent.","nature, scenery, forest"
Watching Nature,Cognitive & Sensory,Watching Nature,2,primary sensory cortex,Primary sensory cortices refine and map input signals.,"nature, scenery, forest"
Watching Nature,Cognitive & Sensory,Watching Nature,3,association cortex,Association areas link sensory input with memories and meaning.,"nature, scenery, forest"
Watching Nature,Cognitive & Sensory,Watching Nature,4,motor and premotor cortex,"Motor systems plan or execute responses; during this activity, Visual aesthetics increase dopamine and relaxation.","nature, scenery, forest"
Watching Nature,Cognitive & Sensory,Watching Nature,5,autonomic nervous system,Autonomic outputs adjust bodily state to match sensory context.,"nature, scenery, forest"
Watching Nature,Cognitive & Sensory,Watching Nature,6,whole body,The experience modifies physiological readiness and future behavior.,"nature, scenery, forest"
Meditation Focus,Cognitive & Sensory,Meditation Focus,1,sensory organs,"Peripheral organs detect stimuli such as light, sound, or scent.","meditation, breathing"
Meditation Focus,Cognitive & Sensory,Meditation Focus,2,primary sensory cortex,Primary sensory cortices refine and map input signals.,"meditation, breathing"
Meditation Focus,Cognitive & Sensory,Meditation Focus,3,association cortex,Association areas link sensory input with memories and meaning.,"meditation, breathing"
Meditation Focus,Cognitive & Sensory,Meditation Focus,4,motor and premotor cortex,"Motor systems plan or execute responses; during this activity, Reduces amygdala reactivity and stabilizes attention.","meditation, breathing"
Meditation Focus,Cognitive & Sensory,Meditation Focus,5,autonomic nervous system,Autonomic outputs adjust bodily state to match sensory context.,"meditation, breathing"
Meditation Focus,Cognitive & Sensory,Meditation Focus,6,whole body,The experience modifies physiological readiness and future behavior.,"meditation, breathing"
Language Learning,Cognitive & Sensory,Language Learning,1,sensory organs,"Peripheral organs detect stimuli such as light, sound, or scent.","language, practice"
Language Learning,Cognitive & Sensory,Language Learning,2,primary sensory cortex,Primary sensory cortices refine and map input signals.,"language, practice"
Language Learning,Cognitive & Sensory,Language Learning,3,association cortex,Association areas link sensory input with memories and meaning.,"language, practice"
Language Learning,Cognitive & Sensory,Language Learning,4,motor and premotor cortex,"Motor systems plan or execute responses; during this activity, Enhances neural plasticity across hemispheres.","language, practice"
Language Learning,Cognitive & Sensory,Language Learning,5,autonomic nervous system,Autonomic outputs adjust bodily state to match sensory context.,"language, practice"
Language Learning,Cognitive & Sensory,Language Learning,6,whole body,The experience modifies physiological readiness and future behavior.,"language, practice"
Playing Games,Cognitive & Sensory,Playing Games,1,sensory organs,"Peripheral organs detect stimuli such as light, sound, or scent.","game, play"
Playing Games,Cognitive & Sensory,Playing Games,2,primary sensory cortex,Primary sensory cortices refine and map input signals.,"game, play"
Playing Games,Cognitive & Sensory,Playing Games,3,association cortex,Association areas link sensory input with memories and meaning.,"game, play"
Playing Games,Cognitive & Sensory,Playing Games,4,motor and premotor cortex,"Motor systems plan or execute responses; during this activity, Reward circuits activate during challenge and engagement.","game, play"
Playing Games,Cognitive & Sensory,Playing Games,5,autonomic nervous system,Autonomic outputs adjust bodily state to match sensory context.,"game, play"
Playing Games,Cognitive & Sensory,Playing Games,6,whole body,The experience modifies physiological readiness and future behavior.,"game, play"
Cooking,Cognitive & Sensory,Cooking,1,sensory organs,"Peripheral organs detect stimuli such as light, sound, or scent.","cooking, kitchen"
Cooking,Cognitive & Sensory,Cooking,2,primary sensory cortex,Primary sensory cortices refine and map input signals.,"cooking, kitchen"
Cooking,Cognitive & Sensory,Cooking,3,association cortex,Association areas link sensory input with memories and meaning.,"cooking, kitchen"
Cooking,Cognitive & Sensory,Cooking,4,motor and premotor cortex,"Motor systems plan or execute responses; during this activity, Sensory integration improves mood and creativity.","cooking, kitchen"
Cooking,Cognitive & Sensory,Cooking,5,autonomic nervous system,Autonomic outputs adjust bodily state to match sensory context.,"cooking, kitchen"
Cooking,Cognitive & Sensory,Cooking,6,whole body,The experience modifies physiological readiness and future behavior.,"cooking, kitchen"
Crafting,Cognitive & Sensory,Crafting,1,sensory organs,"Peripheral organs detect stimuli such as light, sound, or scent.","crafting, handmade"
Crafting,Cognitive & Sensory,Crafting,2,primary sensory cortex,Primary sensory cortices refine and map input signals.,"crafting, handmade"
Crafting,Cognitive & Sensory,Crafting,3,association cortex,Association areas link sensory input with memories and meaning.,"crafting, handmade"
Crafting,Cognitive & Sensory,Crafting,4,motor and premotor cortex,"Motor systems plan or execute responses; during this activity, Hands-on creation reduces stress and increases focus.","crafting, handmade"
Crafting,Cognitive & Sensory,Crafting,5,autonomic nervous system,Autonomic outputs adjust bodily state to match sensory context.,"crafting, handmade"
Crafting,Cognitive & Sensory,Crafting,6,whole body,The experience modifies physiological readiness and future behavior.,"crafting, handmade"
